==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,14.152,14.161,0.3056,0.3033,0.3044,0.2984,0.3011,0.3022,0.301,0.3021,0.3002,0.3039,0.303,0.2986
MAX:,14.202,14.226,0.3064,0.304,0.3051,0.2992,0.3018,0.3029,0.3018,0.3027,0.3009,0.3044,0.3038,0.2992
AVG:,14.172,14.198,0.3062,0.3038,0.3049,0.2989,0.3016,0.3027,0.3016,0.3025,0.3007,0.3043,0.3035,0.299
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (PARK only),OUTAGE (B3 only),23C,14.1V,LL: -0.3,UL: 0.3
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,-0.001,-0.001,0.0,-0.001,0.001,-0.001,0.0,-0.001,-0.001,-0.001,-0.001,0.0
MAX:,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001
AVG:,0.0,-0.0,0.001,-0.0,0.001,-0.0,0.001,0.0,-0.0,0.0,0.0,0.0
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,PARK only,B3 only,23C,16.0V,LL: 0.24,UL: 0.293
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,16.083,16.091,0.27,0.2676,0.2685,0.2633,0.2656,0.267,0.2656,0.2667,0.265,0.2681,0.2676,0.2636
MAX:,16.136,16.138,0.2702,0.2679,0.2688,0.2634,0.2658,0.2672,0.2659,0.2669,0.2653,0.2684,0.2676,0.264
AVG:,16.098,16.108,0.2701,0.2678,0.2687,0.2633,0.2658,0.2671,0.2658,0.2668,0.2652,0.2682,0.2676,0.2639
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (PARK only),OUTAGE (B3 only),23C,16.0V,LL: -0.3,UL: 0.3
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,-0.001,0.0,0.0,0.0,-0.001,-0.001,0.0,-0.001,-0.001,0.0,-0.001,-0.001
MAX:,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AVG:,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,DRL only,B4 only,23C,9.0V,LL: 1.093,UL: 1.335
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,9.069,9.071,1.2209,1.238,1.2216,1.211,1.2287,1.2202,1.2259,1.2188,1.2287,1.2245,1.2287,1.2195
MAX:,9.085,9.074,1.2224,1.2401,1.2231,1.2138,1.2309,1.2224,1.2273,1.2216,1.2309,1.2259,1.2309,1.2209
AVG:,9.074,9.072,1.2216,1.2392,1.2224,1.2128,1.23,1.2216,1.2266,1.2206,1.2303,1.2252,1.23,1.2204
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (DRL only),OUTAGE (B4 only),23C,9.0V,LL: -0.3,UL: 0.3
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX:,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AVG:,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,DRL only,B4 only,23C,14.1V,LL: 0.7,UL: 0.856
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,14.174,14.177,0.7846,0.7832,0.7782,0.7746,0.7803,0.7803,0.7824,0.7782,0.7832,0.7796,0.7824,0.7782
MAX:,14.178,14.181,0.7896,0.7853,0.7789,0.776,0.781,0.7817,0.7846,0.7789,0.7846,0.781,0.7832,0.7803
AVG:,14.177,14.18,0.7857,0.7846,0.7787,0.7755,0.7809,0.781,0.7836,0.7787,0.7839,0.7803,0.783,0.7797
Count:,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (DRL only),OUTAGE (B4 only),23C,14.1V,LL: -0.3,UL: 0.3
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,0.0
MAX:,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.0
AVG:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
Count:,5,5,5,5,5,5,5,5,5,5,5,5
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,DRL only,B4 only,23C,16.0V,LL: 0.616,UL: 0.753
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,16.063,16.064,0.6922,0.6879,0.6829,0.6808,0.6851,0.6851,0.6901,0.6829,0.6879,0.6858,0.6858,0.6844
MAX:,16.077,16.078,0.6929,0.6886,0.6844,0.6829,0.6851,0.6851,0.6901,0.6837,0.6886,0.6865,0.6872,0.6851
AVG:,16.07,16.07,0.6925,0.6883,0.6838,0.6819,0.6851,0.6851,0.6901,0.6835,0.6883,0.6861,0.6867,0.6845
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (DRL only),OUTAGE (B4 only),23C,16.0V,LL: -0.3,UL: 0.3
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,-0.001,-0.001,-0.001,-0.001,-0.001
MAX:,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0
AVG:,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,TURN only,B5 only,23C,9.0V,LL: 1.505,UL: 1.839
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,8.888,8.815,1.5876,1.8513,1.6182,1.7845,1.6189,1.7966,1.5834,1.7617,1.6132,1.803,1.6146,1.7539
MAX:,8.903,8.83,1.5883,1.8527,1.6203,1.7859,1.6196,1.798,1.5855,1.7624,1.6139,1.8037,1.6161,1.7554
AVG:,8.896,8.822,1.5878,1.8524,1.6193,1.7852,1.6193,1.7975,1.5844,1.7621,1.6136,1.8033,1.6155,1.755
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,4,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,4

P552 MCA DV AUX,OUTAGE (TURN only),OUTAGE (B5 only),23C,9.0V,LL: 7.7,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,9.163,9.007,9.125,9.07,9.114,9.081,9.129,9.109,9.112,9.058,9.101,9.108
MAX:,9.173,9.018,9.138,9.083,9.127,9.095,9.14,9.118,9.123,9.072,9.116,9.122
AVG:,9.169,9.013,9.13,9.074,9.118,9.086,9.132,9.114,9.118,9.065,9.108,9.114
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,TURN only,B5 only,23C,14.1V,LL: 0.904,UL: 1.105
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,14.09,14.052,0.9608,1.0745,0.9679,1.056,0.9644,1.066,0.9494,1.0475,0.9644,1.061,0.963,1.0454
MAX:,14.093,14.054,0.963,1.076,0.9686,1.0575,0.9658,1.0674,0.9516,1.0497,0.9651,1.0639,0.9644,1.0468
AVG:,14.092,14.053,0.9617,1.0752,0.9685,1.0566,0.9649,1.0669,0.9503,1.0486,0.9649,1.0625,0.9638,1.0457
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (TURN only),OUTAGE (B5 only),23C,14.1V,LL: 12.8,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,14.244,14.171,14.223,14.195,14.22,14.203,14.225,14.215,14.216,14.192,14.212,14.215
MAX:,14.247,14.175,14.228,14.199,14.224,14.205,14.229,14.22,14.219,14.193,14.214,14.219
AVG:,14.246,14.172,14.226,14.198,14.221,14.204,14.227,14.217,14.217,14.192,14.213,14.216
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,TURN only,B5 only,23C,16.0V,LL: 0.794,UL: 0.971
TP:,VSense 1,VSense 2,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,16.0,15.957,0.8464,0.9381,0.8492,0.9253,0.845,0.9338,0.8336,0.9203,0.8457,0.9303,0.8443,0.916
MAX:,16.003,15.968,0.8471,0.9388,0.85,0.9274,0.8464,0.9345,0.835,0.921,0.8464,0.9317,0.8457,0.9182
AVG:,16.002,15.964,0.8468,0.9384,0.8496,0.9265,0.8455,0.9344,0.8343,0.9207,0.846,0.9306,0.8453,0.9171
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,OUTAGE (TURN only),OUTAGE (B5 only),23C,16.0V,LL: 14.7,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,16.118,16.057,16.102,16.079,16.102,16.084,16.106,16.097,16.098,16.072,16.092,16.094
MAX:,16.133,16.072,16.117,16.093,16.112,16.096,16.117,16.107,16.108,16.083,16.106,16.111
AVG:,16.128,16.067,16.113,16.088,16.109,16.092,16.113,16.104,16.105,16.08,16.1,16.105
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,PARKTURN,23C,9.0V,LL: 1.905,UL: 2.329
TP:,VSense 1 PARK,VSense 2 PARK,VSense 1 TURN,VSense 2 TURN,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,8.916,8.863,9.16,9.096,2.0006,2.3168,2.0387,2.186,2.041,2.202,1.9974,2.172,2.0264,2.2225,2.0358,2.1553
MAX:,8.965,8.893,9.22,9.156,2.0014,2.3221,2.0398,2.1878,2.0416,2.2044,1.9984,2.1738,2.0285,2.2245,2.0367,2.1567
AVG:,8.942,8.884,9.19,9.123,2.001,2.3188,2.0392,2.1868,2.0412,2.2033,1.9978,2.1726,2.0271,2.2236,2.0363,2.1562
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,PARKTURN (PARK),23C,9.0V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,0.1032,0.2647,0.1388,0.1899,0.1441,0.1712,0.1332,0.1491,0.1474,0.2012,0.1566,0.1469
MAX:,0.1068,0.2694,0.1429,0.1948,0.148,0.1759,0.1369,0.1531,0.1517,0.2078,0.1605,0.1505
AVG:,0.1056,0.2676,0.1416,0.1932,0.1468,0.1743,0.1358,0.1518,0.1502,0.2057,0.1592,0.1493
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

P552 MCA DV AUX,PARKTURN (TURN),23C,9.0V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,1.8939,2.0474,1.8961,1.9913,1.8932,2.0261,1.8605,2.019,1.8747,2.0147,1.8754,2.0048
MAX:,1.8982,2.0574,1.901,1.997,1.8975,2.0332,1.8648,2.0247,1.8811,2.0233,1.8797,2.0098
AVG:,1.8954,2.0512,1.8977,1.9936,1.8945,2.029,1.862,2.0208,1.8769,2.0179,1.877,2.0069
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,4,4,4,4,4,4,4,4,4,4,4,4

P552 MCA DV AUX,OUTAGE (PARKTURN),23C,9.0V,LL: 7.7,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,9.522,9.382,9.517,9.449,9.473,9.463,9.484,9.48,9.475,9.431,9.469,9.479
MAX:,9.557,9.421,9.524,9.486,9.51,9.489,9.517,9.51,9.512,9.465,9.478,9.517
AVG:,9.547,9.407,9.52,9.475,9.491,9.482,9.499,9.495,9.491,9.443,9.473,9.498
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,PARKTURN,23C,14.1V,LL: 1.148,UL: 1.403
TP:,VSense 1 PARK,VSense 2 PARK,VSense 1 TURN,VSense 2 TURN,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,14.074,14.027,14.235,14.207,1.2237,1.3389,1.2315,1.3122,1.2257,1.3268,1.2095,1.3094,1.2244,1.3249,1.2266,1.3019
MAX:,14.077,14.05,14.256,14.227,1.226,1.3395,1.234,1.3144,1.2279,1.3285,1.2117,1.311,1.2255,1.3259,1.228,1.3034
AVG:,14.076,14.034,14.241,14.212,1.2248,1.3392,1.233,1.3134,1.227,1.3275,1.2108,1.3103,1.2249,1.3256,1.2274,1.3027
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,PARKTURN (PARK),23C,14.1V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,0.0901,0.1517,0.1108,0.1389,0.1099,0.1286,0.1037,0.1162,0.1137,0.1409,0.12,0.1141
MAX:,0.0903,0.152,0.1112,0.1391,0.11,0.1289,0.1039,0.1164,0.114,0.1412,0.1202,0.1144
AVG:,0.0902,0.1519,0.1111,0.139,0.11,0.1288,0.1038,0.1164,0.1138,0.1411,0.1201,0.1143
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

P552 MCA DV AUX,PARKTURN (TURN),23C,14.1V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,1.1335,1.1868,1.1207,1.1733,1.1158,1.1982,1.1058,1.1932,1.1108,1.184,1.1065,1.1875
MAX:,1.1356,1.1875,1.1228,1.1754,1.1179,1.1996,1.1079,1.1946,1.1115,1.1847,1.1079,1.189
AVG:,1.1346,1.1873,1.122,1.1744,1.117,1.1987,1.107,1.1939,1.1111,1.1845,1.1072,1.1884
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

P552 MCA DV AUX,OUTAGE (PARKTURN),23C,14.1V,LL: 12.8,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,14.445,14.384,14.428,14.418,14.437,14.41,14.427,14.423,14.418,14.411,14.415,14.428
MAX:,14.457,14.401,14.447,14.423,14.44,14.43,14.442,14.441,14.433,14.417,14.433,14.44
AVG:,14.448,14.392,14.441,14.421,14.438,14.423,14.436,14.435,14.423,14.414,14.424,14.437
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,PARKTURN,23C,16.0V,LL: 1.006,UL: 1.23
TP:,VSense 1 PARK,VSense 2 PARK,VSense 1 TURN,VSense 2 TURN,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,15.992,15.96,16.126,16.099,1.0787,1.1715,1.0821,1.1513,1.0757,1.1639,1.0624,1.1499,1.075,1.1615,1.0767,1.1434
MAX:,15.994,15.974,16.127,16.123,1.0796,1.1732,1.0844,1.1528,1.0778,1.1655,1.0644,1.1507,1.0763,1.1637,1.0774,1.1453
AVG:,15.993,15.969,16.126,16.112,1.079,1.1725,1.0832,1.1521,1.077,1.1648,1.0637,1.1502,1.0756,1.1626,1.077,1.1444
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

P552 MCA DV AUX,PARKTURN (PARK),23C,16.0V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,0.11,0.1716,0.1291,0.155,0.1269,0.1462,0.1207,0.1351,0.1312,0.1559,0.1357,0.1333
MAX:,0.1103,0.1718,0.1294,0.1552,0.1272,0.1464,0.1209,0.1352,0.1314,0.1561,0.1358,0.1336
AVG:,0.1102,0.1717,0.1293,0.1551,0.127,0.1462,0.1208,0.1352,0.1313,0.156,0.1357,0.1335
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

P552 MCA DV AUX,PARKTURN (TURN),23C,16.0V,MMLL: 0,MMUL: 1.8
TP:,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,0.9686,0.9999,0.953,0.9964,0.9487,1.0177,0.9416,1.0148,0.9438,1.0056,0.9409,1.0099
MAX:,0.9694,1.0013,0.9551,0.9978,0.9509,1.0191,0.9438,1.0155,0.9452,1.0077,0.9416,1.012
AVG:,0.9688,1.0008,0.9539,0.9971,0.95,1.0186,0.9429,1.015,0.9443,1.0067,0.9413,1.0109
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

P552 MCA DV AUX,OUTAGE (PARKTURN),23C,16.0V,LL: 14.7,UL: NA
TP:,TP1: System 82,TP2: System 83,TP3: System 84,TP4: System 85,TP5: System 86,TP6: System 87,TP7: System 88,TP8: System 89,TP9: System 90,TP10: System 91,TP11: System 92,TP12: System 93
MIN:,16.305,16.249,16.292,16.275,16.284,16.276,16.292,16.29,16.289,16.268,16.281,16.29
MAX:,16.32,16.264,16.307,16.288,16.3,16.29,16.308,16.3,16.3,16.282,16.295,16.304
AVG:,16.315,16.258,16.302,16.282,16.296,16.281,16.3,16.296,16.297,16.277,16.286,16.299
Count:,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0

==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========,==========
P552 MCA DV AUX,DRLTURN,23C,9.0V,LL: 2.56,UL: 3.129
TP:,VSense 1 DRL,VSense 2 DRL,VSense 1 TURN,VSense 2 TURN,TP1: System 82 ,TP2: System 83 ,TP3: System 84 ,TP4: System 85 ,TP5: System 86 ,TP6: System 87 ,TP7: System 88 ,TP8: System 89 ,TP9: System 90 ,TP10: System 91 ,TP11: System 92 ,TP12: System 93 
MIN:,8.854,8.829,9.468,9.421,2.6671,3.0225,2.7069,2.8405,2.7311,2.8654,2.6764,2.842,2.7155,2.8938,2.7112,2.8299
MAX:,8.94,8.866,9.497,9.468,2.7005,3.0509,2.741,2.8768,2.7652,2.9009,2.7076,2.8754,2.7467,2.9315,2.7453,2.864
AVG:,8.914,8.856,9.488,9.448,2.6797,3.0328,2.7195,2.8539,2.7432,2.8782,2.6876,2.854,2.7261,2.9075,2.7235,2.8423
Count:,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Out of Spec:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==>TOTAL: ,0

